sentence_id,model,aer,total_missing,primary_category,confidence,SUBJECT_VERB,MWE_PHRASES,MWE_ENTITIES,FUNCTION_WORDS,HIGH_FERTILITY,GOLD_ERROR
a1102,B4,0.1428571428571429,1,SUBJECT_VERB,high,1,0,0,0,0,0
a10553,B4,0.33333333333333337,2,GOLD_ERROR,high,0,0,0,0,0,1
a10691,B4,0.09090909090909094,1,MWE_PHRASES,high,0,1,0,0,0,0
a10855,B4,0.07692307692307687,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a11562,B4,0.19999999999999996,2,HIGH_FERTILITY,high,1,1,0,0,1,0
a10423,B4,0.06666666666666665,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a1005,B4,0.07692307692307687,1,SUBJECT_VERB,high,1,1,0,0,0,0
a11472,B4,0.25,3,SUBJECT_VERB,high,1,0,0,1,0,0
a10711,B4,0.09999999999999998,2,MWE_PHRASES,high,0,1,0,0,0,0
a10458,B4,0.25,1,SUBJECT_VERB,high,1,0,0,0,0,0
a10994,B4,0.052631578947368474,1,MWE_PHRASES,high,0,1,0,0,0,0
a11219,B4,0.07692307692307687,1,HIGH_FERTILITY,high,1,0,0,0,1,0
a12287,B4,0.19999999999999996,1,HIGH_FERTILITY,high,1,0,0,0,1,0
a12186,B4,0.19999999999999996,1,MWE_PHRASES,high,0,1,0,0,0,0
a12021,B4,0.07692307692307687,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a12164,B4,0.23076923076923073,2,FUNCTION_WORDS,high,0,0,0,1,0,0
a10065,B4,0.1428571428571429,2,MWE_PHRASES,high,0,1,0,0,0,0
a12867,B4,0.1428571428571429,2,MWE_PHRASES,high,0,1,0,1,0,0
a12912,B4,0.16666666666666663,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a12308,B4,0.23076923076923073,2,MWE_PHRASES,high,0,1,0,0,0,0
a12187,B4,0.07692307692307687,1,SUBJECT_VERB,high,1,0,0,0,0,0
a12943,B4,0.25,4,HIGH_FERTILITY,high,1,0,0,1,1,0
a1289,B4,0.33333333333333337,2,MWE_PHRASES,high,0,1,0,1,0,0
a1584,B4,0.11111111111111116,1,HIGH_FERTILITY,high,1,0,0,0,1,0
a13635,B4,0.07692307692307687,1,HIGH_FERTILITY,high,1,0,0,1,1,0
a2027,B4,0.052631578947368474,1,MWE_PHRASES,high,0,1,0,0,0,0
a13387,B4,0.25,2,HIGH_FERTILITY,high,1,1,0,0,1,0
a2126,B4,0.11111111111111116,1,GOLD_ERROR,high,0,0,0,0,0,1
a12216,B4,0.1428571428571429,1,FUNCTION_WORDS,high,0,0,0,0,0,0
a11629,B4,0.19999999999999996,2,SUBJECT_VERB,high,1,1,0,0,0,0
a12749,B4,0.11111111111111116,1,SUBJECT_VERB,high,1,0,0,0,0,0
a1208,B4,0.2222222222222222,3,GOLD_ERROR,high,0,1,0,1,1,1
a13474,B4,0.25,2,SUBJECT_VERB,high,1,1,0,0,0,0
a1384,B4,0.09090909090909094,1,MWE_PHRASES,high,0,1,0,0,0,0
a1810,B4,0.1428571428571429,1,SUBJECT_VERB,high,1,0,0,1,0,0
a2071,B4,0.33333333333333337,3,MWE_PHRASES,high,0,1,0,1,0,0
a12540,B4,0.33333333333333337,2,SUBJECT_VERB,high,1,0,0,1,0,0
a1782,B4,0.07692307692307687,1,MWE_PHRASES,high,0,1,0,0,0,0
a2081,B4,0.19999999999999996,2,MWE_PHRASES,high,1,1,0,0,0,0
a2281,B4,0.09090909090909094,1,MWE_PHRASES,high,0,1,0,0,0,0
a2360,B4,0.05882352941176472,1,HIGH_FERTILITY,high,0,0,0,1,1,0
a2389,B4,0.07692307692307687,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a256,B4,0.25,3,MWE_PHRASES,high,1,1,0,1,0,0
a2818,B4,0.052631578947368474,1,SUBJECT_VERB,high,1,0,0,1,0,0
a2897,B4,0.23809523809523814,4,HIGH_FERTILITY,high,1,0,0,1,1,0
a2923,B4,0.16666666666666663,2,FUNCTION_WORDS,high,0,0,0,1,0,0
a3198,B4,0.2857142857142857,3,HIGH_FERTILITY,high,1,0,0,1,1,0
a3324,B4,0.4,2,FUNCTION_WORDS,low,0,0,0,0,0,0
a3350,B4,0.19999999999999996,1,MWE_PHRASES,high,0,1,0,0,0,0
a3399,B4,0.2727272727272727,3,MWE_PHRASES,high,0,1,0,1,0,0
a350,B4,0.25,3,HIGH_FERTILITY,high,1,0,0,1,1,0
a3680,B4,0.09090909090909094,1,GOLD_ERROR,high,0,0,0,1,0,1
a369,B4,0.19999999999999996,2,SUBJECT_VERB,high,1,0,0,0,0,0
a3782,B4,0.2941176470588235,3,MWE_PHRASES,high,0,1,0,1,0,0
a3786,B4,0.06666666666666665,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a4030,B4,0.16666666666666663,1,MWE_PHRASES,high,0,1,0,0,0,0
a4161,B4,0.1428571428571429,1,GOLD_ERROR,high,0,0,0,0,0,1
a4388,B4,0.19999999999999996,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a4557,B4,0.19999999999999996,1,SUBJECT_VERB,high,1,0,0,0,0,0
a4574,B4,0.06666666666666665,1,HIGH_FERTILITY,high,1,0,0,0,1,0
a4626,B4,0.17647058823529416,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a469,B4,0.06666666666666665,1,HIGH_FERTILITY,high,1,0,0,1,1,0
a4714,B4,0.1428571428571429,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a4738,B4,0.5,3,MWE_PHRASES,high,1,1,0,1,0,0
a4755,B4,0.6666666666666667,2,FUNCTION_WORDS,high,0,0,0,1,0,0
a4833,B4,0.11111111111111116,1,SUBJECT_VERB,high,1,0,0,0,0,0
a5,B4,0.5,4,MWE_PHRASES,high,0,1,0,1,0,0
a5042,B4,0.4,2,MWE_PHRASES,high,0,1,0,0,0,0
a5225,B4,0.1428571428571429,2,SUBJECT_VERB,high,1,0,0,1,0,0
a5226,B4,0.16666666666666663,2,SUBJECT_VERB,high,1,1,0,0,0,0
a5319,B4,0.05882352941176472,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a5329,B4,0.125,2,SUBJECT_VERB,high,1,1,0,0,0,0
a5558,B4,0.07692307692307687,1,SUBJECT_VERB,high,1,0,0,0,0,0
a5665,B4,0.09090909090909094,1,MWE_PHRASES,high,0,1,0,0,0,0
a5692,B4,0.16666666666666663,2,MWE_PHRASES,high,0,1,0,0,0,0
a5767,B4,0.1578947368421053,2,HIGH_FERTILITY,high,0,0,0,1,1,0
a5813,B4,0.09090909090909094,1,MWE_PHRASES,high,0,1,0,0,0,0
a5947,B4,0.4285714285714286,2,MWE_PHRASES,high,0,1,0,0,0,0
a6091,B4,0.19999999999999996,2,HIGH_FERTILITY,high,0,1,0,0,1,0
a6264,B4,0.23076923076923073,2,FUNCTION_WORDS,high,0,0,0,1,0,0
a6359,B4,0.125,2,SUBJECT_VERB,high,1,0,0,1,0,0
a661,B4,0.25,1,MWE_PHRASES,high,0,1,0,0,0,0
a6629,B4,0.33333333333333337,2,MWE_PHRASES,high,0,1,1,0,0,0
a6776,B4,0.16666666666666663,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a69,B4,0.33333333333333337,4,SUBJECT_VERB,high,1,0,0,1,0,0
a7054,B4,0.11111111111111116,1,SUBJECT_VERB,high,1,0,0,1,0,0
a7180,B4,0.1428571428571429,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a7234,B4,0.6666666666666667,3,GOLD_ERROR,high,0,1,0,0,0,1
a724,B4,0.09090909090909094,1,SUBJECT_VERB,high,1,0,0,0,0,0
a7251,B4,0.16666666666666663,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a7442,B4,0.5,4,GOLD_ERROR,high,0,0,0,1,0,1
a772,B4,0.1428571428571429,1,SUBJECT_VERB,high,1,0,0,1,0,0
a7785,B4,0.18181818181818177,3,SUBJECT_VERB,high,1,1,1,0,0,0
a7854,B4,0.33333333333333337,2,MWE_PHRASES,high,0,1,0,1,0,0
a7918,B4,0.2222222222222222,2,SUBJECT_VERB,high,1,0,0,1,0,0
a7928,B4,0.09090909090909094,1,SUBJECT_VERB,high,1,0,0,0,0,0
a8016,B4,0.18181818181818177,3,HIGH_FERTILITY,high,1,0,0,1,1,0
a8175,B4,0.07692307692307687,1,SUBJECT_VERB,high,1,0,0,0,0,0
a8284,B4,0.16666666666666663,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a8311,B4,0.16666666666666663,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a8313,B4,0.25,1,GOLD_ERROR,high,0,0,0,0,0,1
a8439,B4,0.11111111111111116,1,MWE_PHRASES,high,0,1,0,0,0,0
a863,B4,0.5,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a8774,B4,0.11111111111111116,2,HIGH_FERTILITY,high,0,0,0,1,1,0
a8834,B4,0.5294117647058824,12,FUNCTION_WORDS,low,0,0,0,0,0,0
a9057,B4,0.11111111111111116,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a909,B4,0.4,2,MWE_PHRASES,high,0,1,0,1,0,0
a9133,B4,0.2857142857142857,3,SUBJECT_VERB,high,1,1,0,1,0,0
a9180,B4,0.33333333333333337,2,FUNCTION_WORDS,high,0,0,0,1,0,0
a9189,B4,0.33333333333333337,4,HIGH_FERTILITY,high,1,0,0,0,1,0
a9346,B4,0.19999999999999996,1,MWE_PHRASES,high,0,1,0,0,0,0
a9355,B4,0.125,1,SUBJECT_VERB,high,1,0,0,1,0,0
a951,B4,0.23076923076923073,2,HIGH_FERTILITY,high,1,0,0,1,1,0
a9531,B4,0.19999999999999996,2,SUBJECT_VERB,high,1,0,0,1,0,0
a957,B4,0.19999999999999996,2,HIGH_FERTILITY,high,0,1,0,0,1,0
a9665,B4,0.23076923076923073,2,MWE_PHRASES,high,0,1,0,0,0,0
a9864,B4,0.17647058823529416,2,MWE_PHRASES,high,0,1,0,0,0,0
a9875,B4,0.1578947368421053,2,HIGH_FERTILITY,high,1,0,0,0,1,0
a9891,B4,0.16666666666666663,2,HIGH_FERTILITY,high,1,0,0,1,1,0
a992,B4,0.125,1,SUBJECT_VERB,high,1,0,0,1,0,0
a9930,B4,0.11111111111111116,2,SUBJECT_VERB,medium,1,0,0,0,0,1
a9949,B4,0.19999999999999996,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m10006,B4,0.18181818181818177,3,SUBJECT_VERB,high,1,0,0,1,0,0
m10039,B4,0.13043478260869568,1,SUBJECT_VERB,high,1,0,0,0,0,0
m10204,B4,0.3913043478260869,6,FUNCTION_WORDS,high,1,0,0,1,0,0
m10269,B4,0.25,2,HIGH_FERTILITY,high,1,1,0,0,1,0
m10414,B4,0.11111111111111116,2,FUNCTION_WORDS,high,1,0,1,1,0,0
m10583,B4,0.16666666666666663,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m10618,B4,0.2941176470588235,4,SUBJECT_VERB,high,1,0,1,0,0,0
m10689,B4,0.07692307692307687,1,SUBJECT_VERB,high,1,0,0,0,0,0
m10824,B4,0.33333333333333337,3,HIGH_FERTILITY,high,1,0,0,1,1,0
m10826,B4,0.09090909090909094,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m10837,B4,0.25,4,SUBJECT_VERB,high,1,0,0,1,0,0
m10854,B4,0.17647058823529416,2,SUBJECT_VERB,high,1,0,0,1,0,0
m10881,B4,0.23076923076923073,2,MWE_PHRASES,high,0,1,0,0,0,0
m10901,B4,0.125,2,MWE_ENTITIES,high,0,0,1,0,0,0
m10944,B4,0.09090909090909094,1,SUBJECT_VERB,high,1,0,0,0,0,0
m10982,B4,0.3076923076923077,7,SUBJECT_VERB,high,1,0,0,1,0,0
m10995,B4,0.6363636363636364,11,HIGH_FERTILITY,high,0,1,0,1,1,0
m11037,B4,0.16666666666666663,2,SUBJECT_VERB,high,1,0,0,1,0,0
m11087,B4,0.09090909090909094,1,GOLD_ERROR,high,0,0,0,1,0,1
m11196,B4,0.33333333333333337,2,HIGH_FERTILITY,high,1,0,0,1,1,0
m11239,B4,0.19999999999999996,1,SUBJECT_VERB,high,1,0,0,0,0,0
m11250,B4,0.05882352941176472,1,HIGH_FERTILITY,high,1,0,0,1,1,0
m11371,B4,0.07692307692307687,1,MWE_PHRASES,high,0,1,0,0,0,0
m11415,B4,0.33333333333333337,3,SUBJECT_VERB,high,1,0,0,0,0,0
m11443,B4,0.1428571428571429,1,SUBJECT_VERB,high,1,0,0,0,0,0
m11472,B4,0.19999999999999996,2,SUBJECT_VERB,high,1,1,0,0,0,0
m11561,B4,0.2222222222222222,4,SUBJECT_VERB,high,1,0,0,1,0,0
m11653,B4,0.07692307692307687,1,HIGH_FERTILITY,high,1,0,0,0,1,0
m11731,B4,0.11111111111111116,2,GOLD_ERROR,high,0,0,0,1,0,1
m11828,B4,0.2222222222222222,3,SUBJECT_VERB,high,1,0,0,0,0,0
m124,B4,0.2857142857142857,3,SUBJECT_VERB,high,1,1,0,0,0,0
m1283,B4,0.19999999999999996,2,GOLD_ERROR,high,0,0,0,0,0,1
m1444,B4,0.09090909090909094,1,FUNCTION_WORDS,medium,0,0,0,0,0,0
m1519,B4,0.06666666666666665,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m1586,B4,0.23809523809523814,3,MWE_PHRASES,high,0,1,0,0,0,0
m1666,B4,0.1428571428571429,1,SUBJECT_VERB,high,1,0,0,1,0,0
m1804,B4,0.4285714285714286,2,FUNCTION_WORDS,high,0,0,0,1,0,0
m1984,B4,0.16666666666666663,1,HIGH_FERTILITY,high,0,0,0,1,1,0
m2029,B4,0.17647058823529416,3,MWE_ENTITIES,high,0,0,1,1,0,0
m2050,B4,0.17647058823529416,2,SUBJECT_VERB,high,1,0,0,0,0,0
m2103,B4,0.2727272727272727,2,FUNCTION_WORDS,high,0,0,0,1,0,0
m2112,B4,0.33333333333333337,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m2212,B4,0.09999999999999998,1,GOLD_ERROR,high,0,0,0,0,0,1
m2370,B4,0.2592592592592593,4,SUBJECT_VERB,high,1,1,0,1,0,0
m2405,B4,0.09090909090909094,2,HIGH_FERTILITY,high,0,0,0,1,1,0
m2453,B4,0.4666666666666667,4,MWE_PHRASES,medium,0,1,0,1,0,0
m2513,B4,0.05882352941176472,1,SUBJECT_VERB,high,1,0,0,0,0,0
m2715,B4,0.07692307692307687,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m282,B4,0.33333333333333337,2,SUBJECT_VERB,high,1,0,0,1,0,0
m2908,B4,0.19999999999999996,1,SUBJECT_VERB,high,1,0,0,0,0,0
m3026,B4,0.4,2,SUBJECT_VERB,high,1,0,0,1,0,0
m3129,B4,0.375,4,MWE_ENTITIES,high,0,1,1,1,0,0
m3158,B4,0.3090909090909091,9,HIGH_FERTILITY,medium,1,0,0,1,1,1
m3324,B4,0.30000000000000004,5,MWE_PHRASES,high,0,1,0,1,0,0
m3361,B4,0.125,2,SUBJECT_VERB,high,1,1,0,1,0,0
m3413,B4,0.09090909090909094,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m3500,B4,0.19999999999999996,4,HIGH_FERTILITY,high,0,0,0,1,1,0
m351,B4,0.25,2,SUBJECT_VERB,high,1,0,0,1,0,0
m3544,B4,0.30000000000000004,4,FUNCTION_WORDS,high,1,0,1,1,0,0
m3565,B4,0.43999999999999995,10,GOLD_ERROR,high,0,0,0,0,1,1
m3583,B4,0.09999999999999998,2,MWE_PHRASES,high,1,1,0,0,0,0
m3644,B4,0.09090909090909094,1,MWE_PHRASES,high,0,1,0,0,0,0
m368,B4,0.09999999999999998,2,FUNCTION_WORDS,high,0,0,0,1,0,0
m3712,B4,0.08108108108108103,1,GOLD_ERROR,high,0,0,0,0,0,1
m3730,B4,0.19999999999999996,2,SUBJECT_VERB,high,1,0,0,1,0,0
m3799,B4,0.25,1,SUBJECT_VERB,high,1,0,0,0,0,0
m38,B4,0.33333333333333337,3,SUBJECT_VERB,high,1,1,0,1,0,0
m3899,B4,0.1578947368421053,1,HIGH_FERTILITY,high,0,0,0,1,1,0
m4104,B4,0.19999999999999996,1,HIGH_FERTILITY,high,0,0,0,1,1,0
m4120,B4,0.07692307692307687,1,SUBJECT_VERB,high,1,0,0,1,0,0
m415,B4,0.125,2,MWE_ENTITIES,high,0,0,1,0,0,0
m4156,B4,0.08333333333333337,2,SUBJECT_VERB,high,1,0,0,1,0,0
m4189,B4,0.375,4,HIGH_FERTILITY,high,1,0,0,1,1,0
m4278,B4,0.23076923076923073,2,MWE_PHRASES,high,0,1,0,0,0,0
m4285,B4,0.1428571428571429,1,MWE_PHRASES,high,0,1,0,0,0,0
m436,B4,0.22580645161290325,6,HIGH_FERTILITY,high,1,0,0,1,1,0
m4439,B4,0.19999999999999996,1,MWE_PHRASES,high,0,1,0,0,0,0
m4454,B4,0.2857142857142857,2,MWE_PHRASES,high,0,1,0,0,0,0
m4462,B4,0.19999999999999996,2,SUBJECT_VERB,high,1,0,0,1,0,0
m4493,B4,0.19999999999999996,2,SUBJECT_VERB,high,1,0,0,0,0,0
m4550,B4,0.2727272727272727,2,HIGH_FERTILITY,high,1,0,0,1,1,0
m4684,B4,0.09999999999999998,3,SUBJECT_VERB,high,1,0,0,1,0,0
m4693,B4,0.33333333333333337,3,MWE_PHRASES,high,0,1,0,1,0,0
m4711,B4,0.1428571428571429,1,SUBJECT_VERB,high,1,0,0,0,0,0
m474,B4,0.1333333333333333,3,MWE_ENTITIES,high,0,0,1,1,0,0
m475,B4,0.11111111111111116,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m4755,B4,0.04761904761904767,1,MWE_PHRASES,high,0,1,0,0,0,0
m4820,B4,0.09090909090909094,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m4863,B4,0.6363636363636364,5,GOLD_ERROR,high,0,1,0,1,0,1
m4915,B4,0.09090909090909094,1,MWE_PHRASES,high,0,1,0,0,0,0
m4921,B4,0.6666666666666667,1,SUBJECT_VERB,high,1,0,0,0,0,0
m4929,B4,0.09090909090909094,1,SUBJECT_VERB,high,1,0,0,0,0,0
m5048,B4,0.4,2,SUBJECT_VERB,high,1,0,0,1,0,0
m5434,B4,0.23809523809523814,4,HIGH_FERTILITY,high,1,0,0,1,1,0
m5483,B4,0.11111111111111116,1,GOLD_ERROR,high,0,0,0,0,0,1
m55,B4,0.11111111111111116,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m5504,B4,0.33333333333333337,3,SUBJECT_VERB,high,1,0,0,0,0,0
m5612,B4,0.09090909090909094,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m5675,B4,0.09090909090909094,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m5683,B4,0.2727272727272727,3,MWE_PHRASES,high,0,1,0,1,0,0
m598,B4,0.19999999999999996,2,HIGH_FERTILITY,high,1,0,0,0,1,0
m6004,B4,0.2727272727272727,5,SUBJECT_VERB,high,1,0,1,1,0,0
m6115,B4,0.19999999999999996,2,MWE_PHRASES,high,0,1,0,0,0,0
m6239,B4,0.11111111111111116,1,HIGH_FERTILITY,high,0,0,0,1,1,0
m6241,B4,0.16666666666666663,1,MWE_PHRASES,high,0,1,0,0,0,0
m6482,B4,0.2727272727272727,2,SUBJECT_VERB,high,1,0,0,1,0,0
m6498,B4,0.17647058823529416,2,HIGH_FERTILITY,high,1,0,0,1,1,0
m6597,B4,0.6,2,MWE_PHRASES,high,0,1,0,0,0,0
m6635,B4,0.09090909090909094,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m6660,B4,0.33333333333333337,3,SUBJECT_VERB,high,1,0,0,1,0,0
m6682,B4,0.4285714285714286,4,SUBJECT_VERB,high,1,0,0,1,0,0
m6693,B4,0.16666666666666663,2,MWE_ENTITIES,high,1,0,1,0,0,0
m67,B4,0.1724137931034483,5,HIGH_FERTILITY,high,1,1,0,1,1,0
m6738,B4,0.2727272727272727,2,SUBJECT_VERB,high,1,0,0,0,0,0
m6773,B4,0.17647058823529416,3,HIGH_FERTILITY,high,1,0,0,1,1,0
m6808,B4,0.07692307692307687,1,GOLD_ERROR,high,0,0,0,0,0,1
m6862,B4,0.23076923076923073,2,SUBJECT_VERB,high,1,0,0,1,0,0
m6869,B4,0.16666666666666663,1,SUBJECT_VERB,high,1,0,0,0,0,0
m6954,B4,0.15384615384615385,3,SUBJECT_VERB,high,1,0,0,1,0,0
m7087,B4,0.1428571428571429,1,SUBJECT_VERB,high,1,0,0,0,0,0
m7123,B4,0.2727272727272727,2,MWE_PHRASES,high,0,1,0,0,0,0
m7154,B4,0.19999999999999996,2,SUBJECT_VERB,high,1,0,0,1,0,0
m7155,B4,0.052631578947368474,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m7221,B4,0.17647058823529416,2,FUNCTION_WORDS,high,0,0,0,1,0,0
m7227,B4,0.06666666666666665,1,SUBJECT_VERB,high,1,0,0,0,0,0
m7312,B4,0.4285714285714286,2,SUBJECT_VERB,high,1,1,0,0,0,0
m7393,B4,0.2222222222222222,3,MWE_PHRASES,medium,0,1,0,1,0,0
m752,B4,0.06666666666666665,1,GOLD_ERROR,high,0,0,0,0,0,1
m7541,B4,0.25,2,MWE_PHRASES,high,0,1,0,1,0,0
m7556,B4,0.2857142857142857,2,SUBJECT_VERB,medium,1,1,0,0,0,0
m7581,B4,0.027027027027026973,1,MWE_ENTITIES,high,0,0,1,0,1,0
m7708,B4,0.05882352941176472,1,SUBJECT_VERB,high,1,0,0,0,0,0
m7739,B4,0.19999999999999996,2,SUBJECT_VERB,high,1,0,0,0,0,0
m7778,B4,0.25,2,HIGH_FERTILITY,high,0,0,0,1,1,0
m7787,B4,0.6,2,MWE_PHRASES,high,0,1,0,0,0,0
m788,B4,0.19999999999999996,2,HIGH_FERTILITY,high,1,0,0,1,1,0
m7894,B4,0.4666666666666667,5,SUBJECT_VERB,high,1,0,0,1,0,0
m8033,B4,0.09090909090909094,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m8044,B4,0.2727272727272727,1,FUNCTION_WORDS,medium,0,0,0,1,0,0
m8060,B4,0.33333333333333337,2,SUBJECT_VERB,high,1,0,0,0,0,0
m8543,B4,0.11111111111111116,1,HIGH_FERTILITY,high,1,0,0,0,1,0
m8821,B4,0.125,2,MWE_ENTITIES,high,0,0,1,0,0,0
m8907,B4,0.1428571428571429,1,FUNCTION_WORDS,high,0,0,0,1,0,0
m90,B4,0.30000000000000004,4,FUNCTION_WORDS,high,0,1,0,1,0,0
m9011,B4,0.23076923076923073,2,SUBJECT_VERB,high,1,1,0,1,0,0
m918,B4,0.33333333333333337,3,SUBJECT_VERB,high,1,0,0,1,0,0
m9275,B4,0.3846153846153846,3,SUBJECT_VERB,high,1,0,0,0,0,0
m9286,B4,0.23076923076923073,2,GOLD_ERROR,high,0,0,0,1,0,1
m9318,B4,0.33333333333333337,4,SUBJECT_VERB,high,1,0,0,1,0,0
m9326,B4,0.19999999999999996,2,SUBJECT_VERB,high,1,0,0,0,0,0
m9411,B4,0.11111111111111116,1,MWE_PHRASES,high,0,1,0,0,0,0
m9440,B4,0.11111111111111116,1,SUBJECT_VERB,high,1,0,0,0,0,0
m9474,B4,0.33333333333333337,4,HIGH_FERTILITY,high,1,0,0,1,1,0
m9553,B4,0.09090909090909094,1,MWE_PHRASES,high,0,1,0,0,0,0
m9643,B4,0.1428571428571429,1,SUBJECT_VERB,high,1,0,0,0,0,0
m9737,B4,0.11111111111111116,1,MWE_PHRASES,high,0,0,0,0,0,0
m9800,B4,0.06666666666666665,1,HIGH_FERTILITY,high,0,0,0,1,1,0
m9806,B4,0.125,2,FUNCTION_WORDS,medium,0,0,0,1,0,0
m9834,B4,0.09090909090909094,1,SUBJECT_VERB,high,1,0,0,0,0,0
m9845,B4,0.21212121212121215,5,HIGH_FERTILITY,high,1,0,0,1,1,0
m9869,B4,0.17647058823529416,3,MWE_PHRASES,high,0,1,0,1,0,0
m9945,B4,0.19999999999999996,3,HIGH_FERTILITY,high,1,0,1,1,1,0
m9946,B4,0.1428571428571429,1,GOLD_ERROR,high,0,0,0,0,0,1
